player_id,age,club_id,estimated_selling_value,expiry_date,name,position,rating,selling_value,selling_value_difference,transfer_status,updated_date,wage,value,contract,experience,personality,weeks_at_the_club,highest_bidding_club
6359166,32,66818,9577936,"2019-11-16 17:22:00","Erol Buruk",ATTACKER_CENTER,13,281000,0,ALREADY_SOLD,NULL,855,177991,"Until the end of the season",0,-,10,猎鲸船
10794338,18,55040,12226570,"2019-11-16 00:45:00","Filiman Ilic",MIDFIELDER_CENTER,11,8500000,0,ALREADY_SOLD,NULL,463,208270,"2 seasons",0,-,89,"Classica Lanusei"
11103156,18,55040,11891928,"2019-11-16 07:49:00","Stanko Tumbakovic",MIDFIELDER_CENTER,11,379777,0,ALREADY_SOLD,NULL,385,167553,"2 seasons",0,-,68,"FIFA 2020"
5143850,35,52665,27733306,"2019-11-16 15:18:00","Nik Volk",ATTACKER_CENTER,50,15509000,0,ALREADY_SOLD,NULL,182622,15457250,"2 seasons",0,-,10,"Borsholm-Skibstrup IF"
8721794,29,46352,24048455,"2019-11-16 12:42:00","Llorenc Renteria",ATTACKER_CENTER,40,10000000,0,ALREADY_SOLD,NULL,49841,29476599,"Until the end of the season",0,-,65,"RC Kouba"
7026613,31,11241,18731695,"2019-11-16 01:41:00","Hamit Basturk",MIDFIELDER_CENTER,30,18010490,0,ALREADY_SOLD,NULL,18884,12088000,"Until the end of the season",0,-,23,TRABZONSP0R
10598485,19,2987,16550978,"2019-11-16 00:46:00","William Rochon",DEFENDER_CENTER,20,15017000,0,ALREADY_SOLD,NULL,2403,1002600,"Until the end of the season",0,"William is a true role model that younger players can look up to.",34,"FUNatiki™ FC"
11872818,17,104042,6889212,"2019-11-16 17:31:00","Altay Alpgiray",MIDFIELDER_CENTER,3,35000,0,ALREADY_SOLD,NULL,5,25008,"2 seasons",0,-,11,"Galacticos C.P."
9993849,23,104681,11905396,"2019-11-16 20:57:00","Hammond James",MIDFIELDER_CENTER,13,1509000,0,ALREADY_SOLD,NULL,763,279267,"3 seasons",0,"Hammond is very iron willed and usually won't buckle under pressure.",13,"Boldklubben Herning Fremad"
11549520,17,103354,8523331,"2019-11-16 20:42:00","Viktor Mar Thorsson",DEFENDER_CENTER,5,32000,0,ALREADY_SOLD,NULL,33,64712,"2 seasons",0,-,48,Milwall
9544885,22,103354,10540693,"2019-11-16 20:42:00","Rusomir Jovanovic",MIDFIELDER_RIGHT,10,151000,0,ALREADY_SOLD,NULL,252,195450,"Until the end of the season",0,-,108,"FC Thresh"
10618951,19,103354,13363969,"2019-11-16 20:43:00","Jon Gunnar Hjoerleifsson",ATTACKER_CENTER,15,13000,0,ALREADY_SOLD,NULL,952,331661,"2 seasons",0,-,48,"Royal Team"
7392130,29,102558,8736550,"2019-11-16 19:08:00","Kubilay Akcakaya",ATTACKER_CENTER,10,53000,0,ALREADY_SOLD,NULL,540,241928,"2 seasons",0,-,28,猎鲸船
9397748,23,102558,8984336,"2019-11-16 19:08:00","Ayoub Cordier",MIDFIELDER_LEFT,8,55000,0,ALREADY_SOLD,NULL,218,105796,"Until the end of the season",0,-,21,猎鲸船
10324227,21,101124,10842835,"2019-11-16 20:02:00","Hyun Bem Park",MIDFIELDER_CENTER,10,906000,0,ALREADY_SOLD,NULL,443,203662,"Until the end of the season",0,-,85,"KS Mosquito Zabrze"
7881166,28,94676,21242691,"2019-11-16 20:57:00","Allan Jepson",DEFENDER_CENTER,34,8001000,0,ALREADY_SOLD,NULL,26544,18759630,"3 seasons",0,"Allan is very iron willed and usually won't buckle under pressure.",175,"KIZIL KÖRFEZ İSKENDERUN SPOR"
9269800,23,83132,13790023,"2019-11-16 18:01:00","Martin Javier Batista Burgueno",MIDFIELDER_CENTER,17,2001000,0,ALREADY_SOLD,NULL,1758,500928,"Until the end of the season",0,"Martin Javier is very inconsistent.",10,F.K.Partizan
10813754,18,105413,11911143,"2019-11-17 02:30:00","Alan Laure",DEFENDER_RIGHT,12,200603,0,ALREADY_SOLD,NULL,291,133735,"Until the end of the season",0,-,16,izola100
